Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,114.88,115.73,114.88,115.72,107.484,1168262
2017-04-18,115.5,116.36,115.39,116.24,107.967,1978691
2017-04-19,116.37,117.36,116.0,116.95,108.6264,2185363
2017-04-20,117.65,119.86,117.38,119.21,110.7256,3743523
2017-04-21,119.74,119.98,119.03,119.23,110.7442,2639048
2017-04-24,119.94,120.51,119.11,119.36,110.8649,2106761
2017-04-25,119.38,119.94,118.68,118.69,110.2426,1947238
2017-04-26,118.73,119.46,118.4,118.98,110.512,1581421
2017-04-27,119.12,120.62,119.12,120.49,111.9145,2008174
2017-04-28,120.19,121.35,120.03,121.3,112.6668,2476577
2017-05-01,121.37,121.69,121.102,121.25,112.6204,1931951
2017-05-02,121.29,121.71,120.21,120.68,112.091,2697450
2017-05-03,120.43,120.87,119.665,120.3,111.738,1762147
2017-05-04,120.75,120.99,120.22,120.82,112.221,1557495
2017-05-05,120.91,121.52,120.765,121.52,112.8712,1716890
2017-05-08,121.1,121.52,120.76,121.11,112.4904,1522599
2017-05-09,121.3,121.63,120.91,121.07,112.4532,1094392
2017-05-10,121.07,121.37,120.56,121.2,112.574,1343689
2017-05-11,120.75,120.9,119.67,120.8,112.2024,1835224
2017-05-12,120.38,121.5,120.38,120.96,112.351,2362291
2017-05-15,120.96,122.54,120.7601,122.25,113.5492,1772747
2017-05-16,122.69,123.31,122.22,123.14,114.3759,2180617
2017-05-17,122.2,123.07,120.34,120.44,111.8681,2277902
2017-05-18,120.86,121.03,119.41,120.4,111.8309,1968786
2017-05-19,121.01,121.21,120.19,120.98,112.3696,2190103
2017-05-22,121.6,122.84,121.22,122.71,113.9765,1912490
2017-05-23,122.86,123.07,121.8,122.15,113.4563,1472731
2017-05-24,120.43,122.15,120.3,121.95,113.2706,2029654
2017-05-25,122.75,123.56,122.2,123.1,114.3387,1425580
2017-05-26,122.94,123.11,122.52,122.89,114.1437,1415082
2017-05-30,122.61,123.97,122.35,123.77,114.9611,1373030
2017-05-31,124.0,124.6,123.525,124.47,115.6112,2655586
2017-06-01,124.93,125.29,123.86,125.29,116.3729,1902558
2017-06-02,125.37,125.98,124.891,125.74,116.7908,1765967
2017-06-05,126.0,126.98,125.4401,126.58,117.5711,1949952
2017-06-06,126.19,127.0,126.01,126.33,117.3389,1513552
2017-06-07,126.08,126.77,125.53,126.55,117.5432,1640608
2017-06-08,126.97,127.0,125.52,126.17,117.1902,2128861
2017-06-09,126.0,126.74,124.98,125.82,116.8651,1929206
2017-06-12,125.53,126.46,124.73,126.3,117.311,2355868
2017-06-13,126.44,127.56,126.08,127.07,118.0262,2434069
2017-06-14,127.8,128.0,126.7,127.25,118.1934,1861213
2017-06-15,126.28,127.36,124.5,127.03,117.989,2196307
2017-06-16,127.52,128.0,126.53,127.56,118.4813,2965426
2017-06-19,128.47,128.47,127.39,127.77,118.6764,2122954
2017-06-20,127.33,127.64,126.38,126.53,117.5246,2356430
2017-06-21,127.07,127.18,126.03,127.11,118.0633,3257939
2017-06-22,122.97,123.9,119.1,122.08,113.3913,8691127
2017-06-23,122.14,123.62,121.72,122.74,114.0044,3817814
2017-06-26,123.15,124.05,122.28,122.34,113.6328,2622970
2017-06-27,122.5,122.84,122.0,122.19,113.4935,2215255
2017-06-28,122.78,123.83,122.19,123.74,114.9332,1727503
2017-06-29,123.5,123.5,122.61,122.99,114.2366,2687283
2017-06-30,123.3,124.4,123.15,123.68,114.8775,2290346
2017-07-03,123.82,124.88,123.79,123.93,115.1097,1236153
2017-07-05,124.0,124.78,123.99,124.05,115.2211,1328583
2017-07-06,123.35,123.63,122.03,122.94,114.1901,1938109
2017-07-07,123.55,124.75,123.07,124.21,115.3697,1889418
2017-07-10,124.05,124.37,123.59,124.06,115.2304,1301531
2017-07-11,124.06,124.1,123.2,123.85,115.0354,1379754
2017-07-12,124.3,125.48,124.12,125.47,116.5401,2017856
2017-07-13,125.7,126.35,125.44,125.73,116.7816,1713698
2017-07-14,126.19,126.96,125.73,126.7,117.6825,1752903
2017-07-17,126.77,127.05,126.15,126.42,117.4224,2005625
2017-07-18,126.25,127.57,125.48,127.37,118.3048,1641350
2017-07-19,127.5,128.0,126.72,127.78,118.6857,2275298
2017-07-20,127.9,128.7599,127.65,128.54,119.3916,1655339
2017-07-21,128.54,128.955,128.01,128.85,119.6795,1765383
2017-07-24,128.27,128.5,127.59,128.01,118.8993,1763242
2017-07-25,128.25,129.31,127.68,128.95,119.7724,1599954
2017-07-26,129.0,129.61,128.735,129.51,120.2925,1615311
2017-07-27,129.7,129.7,127.42,128.16,119.0386,2096970
2017-07-28,127.98,128.53,127.31,128.4,119.2615,1133850
2017-07-31,128.5,129.16,128.19,128.82,119.6516,1584354
2017-08-01,129.1,129.89,128.95,129.86,120.6176,3465682
2017-08-02,129.7,129.84,128.53,128.62,119.4659,1318478
2017-08-03,129.22,130.28,127.99,130.02,120.7662,3560416
2017-08-04,130.06,130.67,129.54,130.2,120.9334,1283185
2017-08-07,129.83,130.35,129.38,129.68,120.4504,952917
2017-08-08,129.32,129.89,128.9401,129.13,119.9396,1099492
2017-08-09,129.01,129.78,128.92,129.62,120.3947,1216883
2017-08-10,129.22,129.78,128.19,128.24,119.1129,1800865
2017-08-11,128.67,128.71,128.12,128.2,119.0758,1105546
2017-08-14,128.88,129.87,128.63,129.69,120.4597,1421557
2017-08-15,129.41,129.8,128.74,129.38,120.1718,1152464
2017-08-16,129.66,130.49,129.4,130.03,120.7755,1935454
2017-08-17,129.88,130.03,127.56,127.59,118.5092,1567187
2017-08-18,127.73,128.29,127.27,127.44,118.3699,1263534
2017-08-21,127.49,128.31,127.26,128.17,119.0479,1284472
2017-08-22,128.56,129.47,127.99,129.31,120.1068,959492
2017-08-23,128.68,129.14,128.28,128.36,119.2244,1543279
2017-08-24,128.59,129.0814,128.27,128.67,119.5123,1099007
2017-08-25,129.32,129.78,129.18,129.39,120.1811,1252413
2017-08-28,129.71,129.9,129.02,129.24,120.0417,999874
2017-08-29,128.47,129.985,128.29,129.66,120.4318,1170831
2017-08-30,129.65,129.96,129.09,129.79,120.5526,1149129
2017-08-31,130.0,130.92,129.83,130.76,121.4536,2003487
2017-09-01,130.95,130.95,129.87,130.1,120.8405,1528282
2017-09-05,130.1,130.39,129.1,129.77,120.534,2443236
2017-09-06,130.21,131.38,130.05,131.12,121.7879,1549927
2017-09-07,131.5,134.83,131.36,134.24,124.6859,2094810
2017-09-08,134.41,134.97,133.645,133.72,124.2029,2178797
2017-09-11,134.62,136.26,133.61,136.23,126.5342,1667247
2017-09-12,136.56,136.95,136.01,136.22,126.525,1658753
2017-09-13,135.91,136.17,134.21,134.78,125.1874,3078644
2017-09-14,134.5,135.24,134.0,134.86,125.2618,3290489
2017-09-15,135.0,135.65,134.04,135.35,125.7169,3713509
2017-09-18,135.49,137.35,135.49,136.94,127.1937,2496531
2017-09-19,137.0,137.79,136.71,136.71,126.9801,2379555
2017-09-20,136.01,138.15,136.01,138.01,128.1876,1997716
2017-09-21,137.95,138.12,136.57,136.66,126.9336,2006962
2017-09-22,136.68,138.0,136.5,137.9,128.0854,1918509
2017-09-25,137.94,138.27,137.26,138.16,128.3269,2463249
2017-09-26,138.5,138.7,136.75,136.84,127.1008,2911496
2017-09-27,137.32,137.54,136.12,136.64,126.9151,3885524
2017-09-28,132.79,137.68,132.27,136.32,126.6178,4246392
2017-09-29,136.91,137.57,134.84,135.07,125.4568,3311992
2017-10-02,135.23,135.84,134.62,135.44,125.8005,2667457
2017-10-03,134.84,135.97,133.66,134.25,124.6952,2535494
2017-10-04,134.52,135.68,134.4594,135.16,125.5404,2192962
2017-10-05,135.5,136.37,135.27,136.22,126.525,1666067
2017-10-06,136.16,136.97,135.7201,136.25,126.5528,1275809
2017-10-09,136.25,137.0,136.03,136.99,127.2402,1012134
2017-10-10,137.0,138.0,136.845,137.52,127.7324,1804091
2017-10-11,137.19,137.52,136.41,136.91,127.1659,2648228
2017-10-12,136.98,139.65,136.14,139.2,129.2929,2872177
2017-10-13,139.58,140.0,138.2,139.2,129.2929,1687180
2017-10-16,139.43,139.57,138.12,139.09,129.1907,1453336
2017-10-17,138.91,139.28,138.28,138.65,128.782,1446708
2017-10-18,138.23,138.63,137.36,137.42,128.8758,1585207
2017-10-19,137.45,138.67,136.84,138.62,130.0012,1351693
2017-10-20,139.17,139.5,138.51,139.49,130.8171,1368886
2017-10-23,139.75,140.1705,139.05,139.33,130.667,1518189
2017-10-24,139.34,139.43,138.05,138.91,130.2732,1214963
2017-10-25,139.0,141.24,138.66,141.16,132.3833,2354737
2017-10-26,141.58,142.91,141.34,141.97,133.1429,1965835
2017-10-27,142.64,143.61,141.99,143.28,134.3714,2367616
2017-10-30,143.39,143.78,142.13,143.29,134.3808,2145253
2017-10-31,143.18,143.29,142.155,142.36,133.5086,2255297
2017-11-01,142.26,143.19,141.47,142.96,134.0713,2060109
2017-11-02,142.5,143.78,141.93,143.43,134.5121,1585225
2017-11-03,143.43,144.69,143.1001,144.04,135.0842,1336018
2017-11-06,143.12,144.21,142.29,143.93,134.981,1488755
2017-11-07,144.48,144.48,142.94,143.5,134.5778,1284431
2017-11-08,143.76,145.0,143.0,144.89,135.8813,1208312
2017-11-09,144.61,144.73,142.97,143.83,134.8872,1288788
2017-11-10,143.52,144.07,142.695,143.89,134.9435,922497
2017-11-13,143.61,144.28,143.16,143.92,134.9717,1456203
2017-11-14,143.41,145.5,142.77,144.96,135.947,1811893
2017-11-15,144.41,145.0,143.675,144.26,135.2905,1792821
2017-11-16,144.96,147.28,144.6,147.04,137.8977,2040100
2017-11-17,146.39,146.79,144.75,145.45,136.4065,2557132
2017-11-20,145.37,146.85,144.88,146.57,137.4569,1602599
2017-11-21,147.0,148.47,146.41,148.01,138.8074,1732024
2017-11-22,147.85,148.325,147.03,147.11,137.9633,1263667
2017-11-24,148.17,148.17,146.8,147.63,138.451,601818
2017-11-27,148.0,148.1,147.43,147.5,138.3291,1352108
2017-11-28,148.01,148.49,146.6468,148.04,138.8355,1925904
2017-11-29,148.56,148.56,145.23,146.95,137.8133,1972967
2017-11-30,147.0,148.6,146.8,148.01,138.8074,2837114
2017-12-01,147.7,148.36,145.745,146.57,137.4569,1971617
2017-12-04,147.5,147.97,146.08,147.15,138.0008,2099765
2017-12-05,147.24,148.48,146.785,147.67,138.4885,1398938
2017-12-06,147.74,148.4799,147.27,148.27,139.0512,1363413
2017-12-07,148.0,148.66,147.24,148.6,139.3607,1526446
2017-12-08,149.1,150.59,148.72,150.53,141.1707,1735968
2017-12-11,150.55,151.14,150.13,150.69,141.3207,1983301
2017-12-12,150.61,152.8,149.96,152.1,142.6431,2318318
2017-12-13,151.81,152.75,150.41,151.42,142.0053,1596836
2017-12-14,151.84,152.41,151.15,151.21,141.8084,1612529
2017-12-15,152.54,152.9,150.66,152.66,143.1682,3498820
2017-12-18,153.05,153.75,151.58,151.72,142.2867,2277532
2017-12-19,151.96,152.79,150.9901,152.22,142.7556,2063928
2017-12-20,152.18,152.87,151.62,151.75,142.3148,3206177
2017-12-21,156.3,158.44,153.91,154.2,144.6125,4563593
2017-12-22,155.78,156.0,153.8,153.89,144.3218,1818619
2017-12-26,153.14,153.47,152.46,152.99,143.4777,1514425
2017-12-27,153.24,153.765,152.83,153.32,143.7872,1690434
2017-12-28,153.46,153.905,152.99,153.57,144.0217,1124287
2017-12-29,154.43,154.58,153.07,153.09,143.5715,1452063
2018-01-02,153.5,154.1,152.78,153.84,144.2749,3061912
2018-01-03,152.985,154.99,152.985,154.55,144.9407,2064185
2018-01-04,155.0,156.86,154.77,156.38,146.6569,1777024
2018-01-05,156.61,157.72,156.13,157.67,147.8667,1597608
2018-01-08,157.37,159.01,156.84,158.93,149.0484,2616907
2018-01-09,158.5,159.49,157.4535,159.46,149.5454,3204962
2018-01-10,158.95,159.15,157.7308,158.9,149.0203,1624075
2018-01-11,158.9,159.4,158.051,159.11,149.2172,1809390
2018-01-12,159.5,160.635,158.57,160.11,150.155,2048945
2018-01-16,160.25,160.37,157.91,157.96,148.1387,2858729
2018-01-17,159.1,160.47,158.81,160.21,150.2488,2143095
2018-01-18,160.13,161.0823,159.82,160.94,150.9334,1715458
2018-01-19,161.6,162.498,160.2,161.75,151.6931,2246733
2018-01-22,161.21,161.88,160.82,161.43,151.393,1719976
2018-01-23,161.29,162.05,160.64,160.88,150.8772,1635846
2018-01-24,161.2,161.99,160.54,160.6,150.6146,1951898
2018-01-25,161.12,161.75,160.615,160.79,150.7927,1327113
2018-01-26,161.25,162.58,160.33,162.55,152.4433,1950655
2018-01-29,162.33,162.6,160.97,161.19,151.1679,1314847
2018-01-30,160.96,161.16,159.11,159.7,149.7705,1699965
2018-01-31,160.09,160.945,159.73,160.7,150.7083,1878301
2018-02-01,160.155,161.13,159.54,160.46,150.4833,1692576
2018-02-02,159.98,160.27,156.63,156.9,147.1446,2183611
2018-02-05,156.12,159.27,150.73,151.83,142.3898,3733711
2018-02-06,150.29,155.18,149.43,154.69,145.072,4259634
2018-02-07,154.22,158.93,153.07,155.15,145.5034,2918659
2018-02-08,155.31,155.47,150.37,150.51,141.1519,2900917
2018-02-09,151.69,154.99,148.79,153.84,144.2749,3656802
2018-02-12,154.67,156.47,153.9,154.95,145.3159,2273661
2018-02-13,154.2,156.99,153.99,156.84,147.0883,2059482
2018-02-14,156.01,160.12,155.15,159.79,149.8549,2583153
2018-02-15,160.39,161.11,158.11,161.06,151.046,1854915
2018-02-16,160.96,163.6,160.845,162.66,152.5465,1998555
2018-02-20,162.38,162.72,161.07,161.44,151.4023,1425743
2018-02-21,161.59,163.76,160.42,160.46,150.4833,1628586
2018-02-22,161.08,161.995,159.905,160.32,150.352,1511705
2018-02-23,161.1,163.05,160.32,162.95,152.8184,1577234
2018-02-26,163.82,164.83,162.915,164.74,154.4972,1782844
2018-02-27,164.8,165.58,162.55,162.55,152.4433,1820815
2018-02-28,162.9,164.39,160.95,161.01,150.9991,2002240
2018-03-01,161.28,161.5884,155.88,156.15,146.4412,3005395
2018-03-02,155.21,157.63,154.69,157.5,147.7073,2960136
2018-03-05,157.17,159.66,156.99,158.85,148.9734,1936791
2018-03-06,159.17,160.15,156.98,158.03,148.2044,2352499
2018-03-07,156.98,158.96,156.5201,158.55,148.692,3176151
2018-03-08,159.01,159.42,158.04,158.5,148.6451,3093240
2018-03-09,159.65,161.8328,159.21,161.51,151.468,2988026
2018-03-12,162.0,162.77,161.02,161.69,151.6368,2105433
2018-03-13,162.12,164.3,162.06,162.49,152.387,2742227
2018-03-14,162.76,163.2,160.42,161.0,150.9897,2214813
2018-03-15,161.29,163.485,160.89,162.86,152.734,1840336
2018-03-16,162.61,163.29,160.88,160.89,150.8865,4018631
2018-03-19,160.56,161.5,159.37,160.62,150.6333,1890033
2018-03-20,160.95,163.15,160.95,162.88,152.7528,2249443
